Length: 61
('all-purpose flour', [('1', 'whole wheat flour')])
('allspice', [('1/2', 'cinnamon'), ('1/4', 'ginger'), ('1/4', 'cloves')])
('allspice', [('1', 'nutmeg')])
('allspice', [('1', 'cinnamon')])
('basil', [('1', 'oregano')])
('basil', [('1', 'thyme')])
('butter', [('1', 'margarine')])
('celery salt', [('3/4', 'salt'), ('1/4', 'celery seed')])
('chili powder', [('1', 'cumin')])
('chives', [('1', 'green onion')])
('chives', [('1', 'onion')])
('cilantro', [('1', 'parsley')])
('cilantro', [('1', 'cilantro leaves')])
('cilantro leaves', [('1', 'cilantro')])
('cinnamon', [('1', 'nutmeg')])
('cinnamon', [('1', 'allspice')])
('cooking oil', [('1', 'shortening')])
('cornmeal', [('1', 'masa harina')])
('cream of tartar', [('3', 'lemon juice')])
('cream of tartar', [('3', 'vinegar')])
('cumin', [('1', 'chili powder')])
('dry mustard', [('1', 'turmeric')])
('egg', [('1', 'egg whites')])
('egg whites', [('1', 'egg')])
('egg whites', [('1', 'large egg')])
('flour', [('1', 'whole wheat flour')])
('fresh parsley', [('1/3', 'parsley')])
('garlic clove', [('8', 'garlic powder')])
('garlic clove', [('2', 'garlic salt')])
('garlic powder', [('1/8', 'garlic clove')])
('garlic powder', [('2', 'garlic salt')])
('garlic salt', [('1/2', 'garlic clove')])
('garlic salt', [('1/2', 'garlic powder')])
('ginger', [('1', 'nutmeg')])
('green onion', [('1', 'chives')])
('italian seasoning', [('1/3', 'basil'), ('1/3', 'oregano'), ('1/3', 'thyme')])
('large egg', [('1', 'egg whites')])
('lemon juice', [('1/3', 'cream of tartar')])
('lemon juice', [('1', 'vinegar')])
('margarine', [('1', 'butter')])
('masa harina', [('1', 'cornmeal')])
('nutmeg', [('1', 'cinnamon')])
('nutmeg', [('1', 'allspice')])
('nutmeg', [('1', 'ginger')])
('olive oil', [('1', 'vegetable oil')])
('onion', [('1', 'chives')])
('oregano', [('1', 'basil')])
('oregano', [('1', 'thyme')])
('parsley', [('1', 'cilantro')])
('parsley', [('3', 'fresh parsley')])
('poultry seasoning', [('1', 'sage')])
('sage', [('1', 'poultry seasoning')])
('shortening', [('1', 'cooking oil')])
('thyme', [('1', 'basil')])
('thyme', [('1', 'oregano')])
('turmeric', [('1', 'dry mustard')])
('vegetable oil', [('1', 'olive oil')])
('vinegar', [('1/3', 'cream of tartar')])
('vinegar', [('1', 'lemon juice')])
('whole wheat flour', [('1', 'all-purpose flour')])
('whole wheat flour', [('1', 'flour')])
